ID Placówki;Nazwa Szpitala / Placówki;Miasto;Adres;Województwo;Segment;Status Relacji;Telefon;Email;Strona WWW;Szerokość GPS (Lat);Długość GPS (Lng);Liczba Oddziałów;Liczba Kontaktów (Lekarzy);Notatki;Data Utworzenia;Data Aktualizacji
hosp_71;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL POWIATOWY W PISZU;Pisz;ul. Sienkiewicza 2, 12-200 Pisz;Warmińsko-Mazurskie;C;active;+48 89 621 17 59;office@spzoz-pisz.pl;www.spzoz-pisz.pl;53.6281;21.8108;3;1;;2026-07-10T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_72;ZESPÓŁ OPIEKI ZDROWOTNEJ W SZCZYTNIE;Szczytno;ul. M.C. Skłodowskiej 12, 12-100 Szczytno;Warmińsko-Mazurskie;C;prospect;+48 89 594 85 21;office@spzoz-szczytno.pl;www.spzoz-szczytno.pl;53.5622;20.9869;3;0;;2026-07-09T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_73;SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W ŻUROMINIE;Żuromin;ul. Szpitalna 56, 09-300 Żuromin;Mazowieckie;C;inactive;+48 22 921 18 87;office@spzoz-uromin.pl;www.spzoz-uromin.pl;53.0611;19.8739;3;0;;2026-07-08T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_74;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W MŁAWIE;Mława;ul. Anny Dobrskiej 1, 06-500 Mława;Mazowieckie;C;prospect;+48 22 261 77 31;office@spzoz-mawa.pl;www.spzoz-mawa.pl;53.1122;20.3839;3;0;;2026-07-07T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_75;SPECJALISTYCZNY SZPITAL WOJEWÓDZKI W CIECHANOWIE;Ciechanów;ul. Powstańców Wielkopolskich 2, 06-400 Ciechanów;Mazowieckie;A;prospect;+48 22 564 49 10;office@spzoz-ciechanw.pl;www.spzoz-ciechanw.pl;52.8797;20.6214;5;12;;2026-07-06T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_76;SZPITAL POWIATOWY GAJDA-MED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Pułtusk;ul. Teofila Kwiatkowskiego 19, 06-102 Pułtusk;Mazowieckie;C;active;+48 22 618 58 26;office@spzoz-putusk.pl;www.spzoz-putusk.pl;52.7169;21.0825;3;0;;2026-07-05T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_77;SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W PRZASNYSZU;Przasnysz;ul. Sadowa 9, 06-300 Przasnysz;Mazowieckie;B;prospect;+48 22 518 91 72;office@spzoz-przasnysz.pl;www.spzoz-przasnysz.pl;53.0172;20.885;4;2;;2026-07-04T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_78;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ - ZESPÓŁ ZAKŁADÓW W MAKOWIE MAZOWIECKIM;Maków Mazowiecki;ul. Witosa 2, 06-200 Maków Mazowiecki;Mazowieckie;C;key_account;+48 22 713 68 10;office@spzoz-makwmazowiecki.pl;www.spzoz-makwmazowiecki.pl;52.8631;21.1019;3;0;;2026-07-03T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_79;MAZOWIECKI SZPITAL SPECJALISTYCZNY IM. DR JÓZEFA PSARSKIEGO W OSTROŁĘCE;Ostrołęka;ul. Jana Pawła II 120A, 07-410 Ostrołęka;Mazowieckie;A;prospect;+48 22 817 28 53;office@spzoz-ostroka.pl;www.spzoz-ostroka.pl;53.0836;21.5711;8;8;;2026-07-02T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_8;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W KRAŚNIKU;Kraśnik;ul. Fryderyka Chopina 13, 23-200 Kraśnik;Lubelskie;C;key_account;+48 81 525 16 57;office@spzoz-kranik.pl;www.spzoz-kranik.pl;50.9244;22.2269;3;0;;2026-07-13T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_80;SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W OSTROWI MAZOWIECKIEJ;Ostrów Mazowiecka;ul. Dubois 68, 07-300 Ostrów Mazowiecka;Mazowieckie;C;prospect;+48 22 562 68 86;office@spzoz-ostrwmazowiecka.pl;www.spzoz-ostrwmazowiecka.pl;52.8;21.8972;3;0;;2026-07-01T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_81;SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W WYSZKOWIE;Wyszków;ul. Komisji Edukacji Narodowej 1, 07-200 Wyszków;Mazowieckie;C;active;+48 22 263 80 97;office@spzoz-wyszkw.pl;www.spzoz-wyszkw.pl;52.5958;21.4578;3;0;;2026-06-30T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_82;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W WĘGROWIE;Węgrów;ul. Kościelna 201, 07-100 Węgrów;Mazowieckie;C;prospect;+48 22 949 18 53;office@spzoz-wgrw.pl;www.spzoz-wgrw.pl;52.3978;22.0186;3;0;;2026-06-29T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_83;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W SOKOŁOWIE PODLASKIM;Sokołów Podlaski;ul. Księdza Jana Bosko 5, 08-300 Sokołów Podlaski;Mazowieckie;C;prospect;+48 22 894 62 53;office@spzoz-sokowpodlaski.pl;www.spzoz-sokowpodlaski.pl;52.4072;22.2486;3;0;;2026-06-28T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_84;MAZOWIECKI SZPITAL WOJEWÓDZKI IM. ŚW. JANA PAWŁA II W SIEDLCACH SP. Z O.O.;Siedlce;ul. Poniatowskiego 26, 08-110 Siedlce;Mazowieckie;A;prospect;+48 22 222 33 84;office@spzoz-siedlce.pl;www.spzoz-siedlce.pl;52.1667;22.2917;11;13;;2026-06-27T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_85;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W SIEDLCACH;Siedlce;ul. Starowiejska 15, 08-110 Siedlce;Mazowieckie;C;key_account;+48 22 192 37 68;office@spzoz-siedlce.pl;www.spzoz-siedlce.pl;52.17;22.285;3;1;;2026-06-26T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_86;CENTRALNY SZPITAL KLINICZNY MSWIA W WARSZAWIE;Warszawa;ul. Wołoska 137, 02-507 Warszawa;Mazowieckie;A;active;+48 22 878 71 55;office@spzoz-warszawa.pl;www.spzoz-warszawa.pl;52.2023;21.0028;5;0;;2026-06-25T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_87;UNIWERSYTECKIE CENTRUM KLINICZNE GDAŃSK;Gdańsk;ul. Dębinki 7, 80-952 Gdańsk;Pomorskie;A;prospect;+48 22 337 31 15;office@spzoz-gdask.pl;www.spzoz-gdask.pl;54.3686;18.6294;5;6;;2026-06-24T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_9;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBARTOWIE;Lubartów;ul. Cicha 14, 21-100 Lubartów;Lubelskie;B;prospect;+48 81 586 90 44;office@spzoz-lubartw.pl;www.spzoz-lubartw.pl;51.46;22.6094;4;0;;2026-07-12T08:11:16.634Z;2026-08-15T08:11:16.634Z
